Repository,File,Method,Count,Imports,Parameters,Annotations,Value,Href,Version,MethodParameter,FullClassPath,ModifiedValue
accumulo,AccumuloMonitorAppender.java,setHeader,1,[java.nio.charset.StandardCharsets.UTF_8;org.apache.accumulo.core.util.LazySingletons.GSON;java.io.PrintWriter;java.io.StringWriter;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpRequest.BodyPublishers;java.net.http.HttpResponse.BodyHandlers;java.util.Optional;java.util.function.Supplier;org.apache.accumulo.core.Constants;org.apache.accumulo.core.conf.SiteConfiguration;org.apache.accumulo.core.fate.zookeeper.ZooCache.ZcStat;org.apache.accumulo.core.util.Pair;org.apache.accumulo.monitor.rest.logs.LogResource;org.apache.accumulo.monitor.rest.logs.SingleLogEvent;org.apache.accumulo.server.ServerContext;org.apache.logging.log4j.core.Appender;org.apache.logging.log4j.core.Core;org.apache.logging.log4j.core.Filter;org.apache.logging.log4j.core.LogEvent;org.apache.logging.log4j.core.appender.AbstractAppender;org.apache.logging.log4j.core.config.Property;org.apache.logging.log4j.core.config.plugins.Plugin;org.apache.logging.log4j.core.config.plugins.PluginBuilderFactory;edu.umd.cs.findbugs.annotations.SuppressFBWarnings],[java.lang.String;java.lang.String],[],"setHeader(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#setHeader(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,setHeader
activemq,HttpClientTransport.java,setHeader,1,[java.io.DataInputStream;java.io.IOException;java.io.InterruptedIOException;java.net;java.security.cert.X509Certificate;java.util.Arrays;java.util.Collections;java.util.List;java.util.zip.GZIPInputStream;java.util.zip.GZIPOutputStream;org.apache.activemq.command.ShutdownInfo;org.apache.activemq.transport.FutureResponse;org.apache.activemq.transport.util.TextWireFormat;org.apache.activemq.util.ByteArrayOutputStream;org.apache.activemq.util.IOExceptionSupport;org.apache.activemq.util.IdGenerator;org.apache.activemq.util.ServiceStopper;org.apache.activemq.wireformat.WireFormat;org.apache.http.Header;org.apache.http.HttpHost;org.apache.http.HttpRequest;org.apache.http.HttpRequestInterceptor;org.apache.http.HttpResponse;org.apache.http.HttpStatus;org.apache.http.auth.AuthScope;org.apache.http.auth.UsernamePasswordCredentials;org.apache.http.client.CredentialsProvider;org.apache.http.client.HttpClient;org.apache.http.client.HttpResponseException;org.apache.http.client.ResponseHandler;org.apache.http.client.config.CookieSpecs;org.apache.http.client.config.RequestConfig;org.apache.http.client.methods.HttpGet;org.apache.http.client.methods.HttpHead;org.apache.http.client.methods.HttpOptions;org.apache.http.client.methods.HttpPost;org.apache.http.conn.HttpClientConnectionManager;org.apache.http.entity.ByteArrayEntity;org.apache.http.impl.client.BasicCredentialsProvider;org.apache.http.impl.client.BasicResponseHandler;org.apache.http.impl.client.HttpClientBuilder;org.apache.http.impl.conn.PoolingHttpClientConnectionManager;org.apache.http.impl.conn.SystemDefaultRoutePlanner;org.apache.http.message.AbstractHttpMessage;org.apache.http.protocol.HttpContext;org.apache.http.util.EntityUtils;org.slf4j.Logger;org.slf4j.LoggerFactory],[java.lang.String;java.lang.String],[],"setHeader(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#setHeader(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,setHeader
acme4j,DefaultConnection.java,header,6,[java.time.format.DateTimeFormatter.RFC_1123_DATE_TIME;java.util.function.Predicate.not;java.util.stream.Collectors.toUnmodifiableList;java.io.IOException;java.io.InputStream;java.net.MalformedURLException;java.net.URI;java.net.URL;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.security.KeyPair;java.security.cert.CertificateException;java.security.cert.CertificateFactory;java.security.cert.X509Certificate;java.time.Instant;java.time.ZoneId;java.time.ZonedDateTime;java.time.format.DateTimeParseException;java.util.Collection;java.util.List;java.util.Objects;java.util.Optional;java.util.Set;java.util.function.Consumer;java.util.regex.Matcher;java.util.regex.Pattern;java.util.zip.GZIPInputStream;edu.umd.cs.findbugs.annotations.Nullable;org.shredzone.acme4j.Login;org.shredzone.acme4j.Problem;org.shredzone.acme4j.Session;org.shredzone.acme4j.exception.AcmeException;org.shredzone.acme4j.exception.AcmeNetworkException;org.shredzone.acme4j.exception.AcmeProtocolException;org.shredzone.acme4j.exception.AcmeRateLimitedException;org.shredzone.acme4j.exception.AcmeRetryAfterException;org.shredzone.acme4j.exception.AcmeServerException;org.shredzone.acme4j.exception.AcmeUnauthorizedException;org.shredzone.acme4j.exception.AcmeUserActionRequiredException;org.shredzone.acme4j.toolbox.AcmeUtils;org.shredzone.acme4j.toolbox.JSON;org.shredzone.acme4j.toolbox.JSONBuilder;org.shredzone.acme4j.toolbox.JoseUtils;org.slf4j.Logger;org.slf4j.LoggerFactory],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
acme4j,DefaultConnection.java,header,1,[java.time.format.DateTimeFormatter.RFC_1123_DATE_TIME;java.util.function.Predicate.not;java.util.stream.Collectors.toUnmodifiableList;java.io.IOException;java.io.InputStream;java.net.MalformedURLException;java.net.URI;java.net.URL;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.security.KeyPair;java.security.cert.CertificateException;java.security.cert.CertificateFactory;java.security.cert.X509Certificate;java.time.Instant;java.time.ZoneId;java.time.ZonedDateTime;java.time.format.DateTimeParseException;java.util.Collection;java.util.List;java.util.Objects;java.util.Optional;java.util.Set;java.util.function.Consumer;java.util.regex.Matcher;java.util.regex.Pattern;java.util.zip.GZIPInputStream;edu.umd.cs.findbugs.annotations.Nullable;org.shredzone.acme4j.Login;org.shredzone.acme4j.Problem;org.shredzone.acme4j.Session;org.shredzone.acme4j.exception.AcmeException;org.shredzone.acme4j.exception.AcmeNetworkException;org.shredzone.acme4j.exception.AcmeProtocolException;org.shredzone.acme4j.exception.AcmeRateLimitedException;org.shredzone.acme4j.exception.AcmeRetryAfterException;org.shredzone.acme4j.exception.AcmeServerException;org.shredzone.acme4j.exception.AcmeUnauthorizedException;org.shredzone.acme4j.exception.AcmeUserActionRequiredException;org.shredzone.acme4j.toolbox.AcmeUtils;org.shredzone.acme4j.toolbox.JSON;org.shredzone.acme4j.toolbox.JSONBuilder;org.shredzone.acme4j.toolbox.JoseUtils;org.slf4j.Logger;org.slf4j.LoggerFactory],[java.lang.String;unknown],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
acme4j,HttpConnector.java,header,1,[java.net.URISyntaxException;java.net.URL;java.net.http.HttpClient;java.net.http.HttpRequest;java.util.Properties;org.slf4j.LoggerFactory],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
activemq-artemis,KubernetesClientImpl.java,header,2,[java.net.HttpURLConnection.HTTP_CREATED;java.io.File;java.io.FileInputStream;java.io.IOException;java.io.InputStream;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.net.http.HttpResponse.BodyHandlers;java.nio.file.Path;java.security.KeyStore;java.security.SecureRandom;java.security.cert.CertificateFactory;java.security.cert.X509Certificate;java.util.Scanner;javax.net.ssl.SSLContext;javax.net.ssl.TrustManagerFactory;org.apache.activemq.artemis.spi.core.security.jaas.kubernetes.model.TokenReview;org.apache.activemq.artemis.utils.JsonLoader;org.slf4j.Logger;org.slf4j.LoggerFactory],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
apicurio-registry,KeycloakUtils.java,header,1,[com.fasterxml.jackson.core.JsonProcessingException;com.fasterxml.jackson.databind.ObjectMapper;io.apicur.registry.v1.ApicurioRegistry;io.apicurio.registry.systemtests.executor.Exec;io.apicurio.registry.systemtests.platform.Kubernetes;io.apicurio.registry.systemtests.registryinfra.ResourceManager;io.apicurio.registry.systemtests.registryinfra.resources.RouteResourceType;io.apicurio.registry.systemtests.registryinfra.resources.ServiceResourceType;org.apache.hc.core5.http.HttpStatus;org.slf4j.Logger;java.net.URI;java.net.URISyntaxException;java.net.URL;java.net.URLEncoder;java.net.http.HttpRequest;java.net.http.HttpResponse;java.nio.charset.StandardCharsets;java.nio.file.Paths;java.time.Duration;java.util.HashMap;java.util.Map],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
apicurio-registry,HttpEventSink.java,header,1,[io.apicurio.registry.events.EventSink;io.vertx.core.buffer.Buffer;io.vertx.core.eventbus.Message;org.slf4j.Logger;javax.enterprise.context.ApplicationScoped;javax.inject.Inject;javax.ws.rs.core.MediaType;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.util.UUID],[java.lang.String;unknown],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
apicurio-registry,HttpEventSink.java,header,4,[io.apicurio.registry.events.EventSink;io.vertx.core.buffer.Buffer;io.vertx.core.eventbus.Message;org.slf4j.Logger;javax.enterprise.context.ApplicationScoped;javax.inject.Inject;javax.ws.rs.core.MediaType;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.util.UUID],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
apicurio-registry,ApicurioRegistryApiClient.java,header,8,[com.fasterxml.jackson.core.JsonProcessingException;com.fasterxml.jackson.databind.ObjectMapper;io.apicurio.registry.systemtests.framework.HttpClientUtils;io.apicurio.registry.systemtests.framework.LoggerUtils;io.apicurio.registry.systemtests.time.TimeoutBudget;org.apache.hc.core5.http.HttpStatus;org.slf4j.Logger;java.net.URI;java.net.http.HttpRequest;java.net.http.HttpResponse;java.time.Duration],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
