Value;Href;Version;MethodParameter;FullClassPath;ModifiedValue
absExact(int);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Math.html#absExact(int);15;['int'];.java.base.java.lang.Math;absExact
absExact(int);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/StrictMath.html#absExact(int);15;['int'];.java.base.java.lang.StrictMath;absExact
absExact(long);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Math.html#absExact(long);15;['long'];.java.base.java.lang.Math;absExact
absExact(long);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/StrictMath.html#absExact(long);15;['long'];.java.base.java.lang.StrictMath;absExact
afterHandler(String, Consumer<HttpExchange>);https://docs.oracle.com/en/java/javase/17/docs/api//jdk.httpserver/com/sun/net/httpserver/Filter.html#afterHandler(java.lang.String,java.util.function.Consumer);17;['String', 'Consumer<HttpExchange>'];.jdk.httpserver.com.sun.net.httpserver.Filter;afterHandler
allowFilter(Predicate<Class<?>>, ObjectInputFilter.Status);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/io/ObjectInputFilter.html#allowFilter(java.util.function.Predicate,java.io.ObjectInputFilter.Status);17;['Predicate<Class<?>>', 'ObjectInputFilter.Status'];.java.base.java.io.ObjectInputFilter;allowFilter
appendDayPeriodText(TextStyle);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/time/format/DateTimeFormatterBuilder.html#appendDayPeriodText(java.time.format.TextStyle);16;['TextStyle'];.java.base.java.time.format.DateTimeFormatterBuilder;appendDayPeriodText
arrayType();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Class.html#arrayType();12;[''];.java.base.java.lang.Class;arrayType
beforeHandler(String, Consumer<HttpExchange>);https://docs.oracle.com/en/java/javase/17/docs/api//jdk.httpserver/com/sun/net/httpserver/Filter.html#beforeHandler(java.lang.String,java.util.function.Consumer);17;['String', 'Consumer<HttpExchange>'];.jdk.httpserver.com.sun.net.httpserver.Filter;beforeHandler
BINDING_PATTERN;https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/tree/Tree.Kind.html#BINDING_PATTERN;16;[''];.jdk.compiler.com.sun.source.tree.Tree.Kind;BINDING_PATTERN
BINDING_VARIABLE;https://docs.oracle.com/en/java/javase/17/docs/api//java.compiler/javax/lang/model/element/ElementKind.html#BINDING_VARIABLE;16;[''];.java.compiler.javax.lang.model.element.ElementKind;BINDING_VARIABLE
BSM_EXPLICIT_CAST;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/constant/ConstantDescs.html#BSM_EXPLICIT_CAST;15;[''];.java.base.java.lang.constant.ConstantDescs;BSM_EXPLICIT_CAST
BSM_GET_STATIC_FINAL;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/constant/ConstantDescs.html#BSM_GET_STATIC_FINAL;15;[''];.java.base.java.lang.constant.ConstantDescs;BSM_GET_STATIC_FINAL
